match_id,home_position,home_played_matches,home_wins,home_draws,home_loses,home_goals_scored,home_goals_conceded,home_goal_difference,home_team_wins_in_last_5_matches,home_team_draws_in_last_5_matches,home_team_loses_in_last_5_matches,home_team_scored_goals_in_last_5_matches,home_team_conceded_goals_in_last_5_matches,away_position,away_played_matches,away_wins,away_draws,away_loses,away_goals_scored,away_goals_conceded,away_goal_difference,away_team_wins_in_last_5_matches,away_team_draws_in_last_5_matches,away_team_loses_in_last_5_matches,away_team_scored_goals_in_last_5_matches,away_team_conceded_goals_in_last_5_matches,result,home_odds,draw_odds,away_odds
46,14,5,1,1,3,9,16,-7,1,1,3,9,16,10,5,2,1,2,7,3,4,2,1,2,7,3,2,3.400,3.470,2.090
47,18,5,0,1,4,6,16,-10,0,1,4,6,16,4,5,3,1,1,7,3,4,3,1,1,7,3,2,2.400,3.380,2.840
48,9,5,2,2,1,6,5,1,2,2,1,6,5,16,5,0,2,3,4,10,-6,0,2,3,4,10,1,1.560,3.910,5.960
49,6,5,3,0,2,9,4,5,3,0,2,9,4,13,5,2,0,3,6,9,-3,2,0,3,6,9,0,2.010,3.480,3.570
50,17,5,0,2,3,2,8,-6,0,2,3,2,8,12,5,2,1,2,7,10,-3,2,1,2,7,10,0,2.500,3.330,2.730
51,5,5,3,1,1,6,3,3,3,1,1,6,3,14,5,1,1,3,7,14,-7,1,1,3,7,14,2,1.410,4.540,7.380
52,8,5,3,0,2,5,5,0,3,0,2,5,5,2,5,4,0,1,11,5,6,4,0,1,11,5,1,2.670,3.370,2.540
53,10,5,2,2,1,6,7,-1,2,2,1,6,7,11,5,2,1,2,6,4,2,2,1,2,6,4,0,4.200,3.500,1.850
54,8,5,3,0,2,11,8,3,3,0,2,11,8,3,5,4,0,1,16,1,15,4,0,1,16,1,2,4.810,3.810,1.680
55,6,6,3,1,2,9,4,5,2,1,2,6,4,18,6,0,1,5,6,17,-11,0,1,4,5,14,2,1.550,4.190,5.640
56,18,6,0,3,3,6,12,-6,0,2,3,4,10,5,6,3,2,1,8,8,0,2,2,1,6,7,1,2.930,3.350,2.340
57,1,6,5,0,1,18,1,17,5,0,0,18,0,7,6,3,1,2,7,7,0,3,1,1,7,5,0,1.330,5.010,8.860
58,13,6,2,1,3,8,13,-5,1,1,3,6,13,11,6,2,1,3,7,6,1,1,1,3,4,5,2,3.760,3.440,1.960
59,3,6,4,1,1,8,3,5,3,1,1,7,3,8,6,3,1,2,6,6,0,2,1,2,5,6,0,2.060,3.330,3.530
60,9,6,3,0,3,11,10,1,3,0,2,11,7,16,6,1,1,4,10,18,-8,1,0,4,8,16,0,1.380,4.630,7.920
61,14,6,2,0,4,7,12,-5,1,0,4,4,12,15,6,1,2,3,5,9,-4,1,2,2,5,7,0,1.840,3.520,4.160
62,13,6,2,1,3,11,15,-4,2,1,2,11,12,4,6,4,0,2,12,5,7,4,0,1,11,3,0,2.920,3.400,2.310
63,3,6,4,1,1,12,6,6,3,1,1,10,6,11,6,2,3,1,8,7,1,2,3,0,8,6,0,1.830,3.570,4.180
64,15,7,1,2,4,5,10,-5,1,1,3,4,7,7,7,3,1,3,10,6,4,2,0,3,6,5,2,2.970,3.370,2.340
65,8,7,3,1,3,9,7,2,2,1,2,6,5,16,7,0,4,3,6,12,-6,0,2,3,3,9,0,1.240,5.650,12.340
66,17,7,1,1,5,12,22,-10,1,0,4,9,18,3,7,5,1,1,9,3,6,4,0,1,7,2,0,2.920,3.350,2.350
67,12,7,2,3,2,9,9,0,2,2,1,7,6,10,7,3,1,3,13,15,-2,3,1,1,12,7,0,1.960,3.470,3.710
68,5,7,4,0,3,12,7,5,3,0,2,10,5,1,7,6,0,1,21,1,20,5,0,0,20,0,1,6.300,4.210,1.490
69,11,7,3,1,3,7,10,-3,2,1,2,6,8,13,7,3,0,4,8,12,-4,2,0,3,5,11,0,1.700,3.730,4.780
70,9,7,3,1,3,6,7,-1,2,1,2,4,5,14,7,2,1,4,9,15,-6,0,1,4,5,14,1,2.110,3.350,3.380
71,17,7,1,1,5,8,18,-10,1,0,4,5,13,8,7,4,0,3,15,12,3,3,0,2,10,8,2,2.740,3.400,2.450
72,10,7,3,3,1,8,8,0,1,3,1,4,6,2,7,5,1,1,14,7,7,4,1,0,12,6,0,2.680,3.370,2.520
73,2,8,5,1,2,16,10,6,3,1,1,9,6,6,8,4,1,3,13,7,6,2,1,2,8,5,2,2.850,3.390,2.390
74,1,8,6,1,1,21,1,20,4,1,0,15,0,10,8,3,3,2,12,9,3,3,1,1,9,5,0,1.190,6.650,13.470
75,14,8,2,2,4,12,18,-6,0,2,3,6,13,17,8,0,4,4,6,16,-10,0,2,3,3,11,2,1.660,3.710,5.160
76,3,8,5,1,2,9,4,5,3,0,2,3,2,9,8,4,1,3,10,11,-1,2,1,2,8,9,1,2.650,3.300,2.590
